host,ip,collector_hostname,timestamp,feature,value
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,ipOutNoRoutes,9
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,ipInAddrErrors,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,icmpInMsgs,86
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,icmpInDestUnreachs,82
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,icmpOutMsgs,768
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,icmpOutDestUnreachs,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,icmpInEchos,2
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,icmpOutEchoReps,2
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,ifInOctets1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,ifOutOctets1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,ifOutDiscards1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,ifInUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,ifInNUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,ifInDiscards1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,ifOutUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,ifOutNUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,tcpOutRsts,2485
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,tcpInSegs,625473
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,tcpOutSegs,713655
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,tcpPassiveOpens,344
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,tcpRetransSegs,1375
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,tcpCurrEstab,49
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,tcpEstabResets,1084
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,tcpActiveOpens,6499
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,udpInDatagrams,700929
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,udpOutDatagrams,148625
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,udpInErrors,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,udpNoPorts,2314
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,ipInReceives,1275612
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:54.618869,ipInDelivers,1271812
